,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.015237608,-0.007080555,-0.031811967,-0.0007733935,-0.011728238,-0.0019000681,-0.027172735,0.026080918,-0.060370225,-0.0050280583,-0.030219657,-0.3098362,-0.03355773,0.270223,-0.30745488,0.021653652,-0.26904455,0.2566848,-0.07368536,0.44931772,0.017978638,-0.14456955,0.44988593
1,0.026877552,0.00015814797,0.0015463418,0.012510738,0.0013666025,0.0015620427,0.005173036,0.00488471,-0.014960954,0.0049390583,0.004696776,0.18928547,0.01900558,-0.031548236,-0.011015692,-0.002714534,0.04916147,-0.049902193,0.02463911,-0.02603078,0.024582652,-0.3338265,0.91685593
2,-0.0016408181,0.04188208,0.018248338,0.1453729,-0.040403508,0.11521885,0.44980615,0.35873702,-0.13306838,-0.032147124,0.007911789,-0.05981342,-0.020092238,-0.14247419,-0.043846644,-0.00531815,0.14484416,-0.092376985,0.13650255,-0.08514621,0.0044608433,0.48634732,0.19951226
3,0.07929678,0.050015233,-0.030205721,0.027036581,-0.053059045,0.033517282,-0.15705295,0.11003485,0.45619,0.01227522,-0.005040945,0.03992864,0.51102597,-0.23251434,0.06937544,-0.04473519,-0.21852905,0.13303646,0.021998756,-0.3382692,0.0030260028,0.09967571,0.17045547
4,-0.18775612,-0.07057977,0.03916426,-0.028600048,0.016840473,0.0036865424,-0.028672582,0.040317375,0.05237837,0.0040550316,0.0018425281,-0.10220215,0.017506016,-0.23962846,0.4342988,-0.0050315442,0.20645799,-0.2172162,-0.05736521,0.53026575,0.019326383,-0.14212918,0.41003567
5,-0.002896248,-0.0089819655,0.02224159,0.08408635,-0.016103912,0.029938808,0.18323855,0.08612678,0.070390135,-0.05927076,0.035491668,-0.034178384,0.10589318,0.20286693,0.0129122725,0.028010339,0.2850791,-0.25484166,0.029240998,0.03588036,0.005539176,0.7715214,0.24416095
6,0.0459751,-0.06469513,-0.0068141157,-0.06698727,0.01036438,-0.07324888,-0.31711036,-0.16070865,0.14323276,-0.061046742,0.072267324,0.025223486,0.100601874,0.35294428,0.086850755,0.039726634,0.2674252,-0.24345823,0.024094995,0.0065583535,0.0049049463,0.6623616,0.2180057
7,0.25139472,0.101542205,-0.028083242,0.04759127,0.00471249,0.008860318,0.07845733,0.06496335,0.028803645,-0.014831421,-0.027370391,-0.556199,-0.05155862,0.08202294,0.21245083,0.036636118,-0.21733107,0.2138925,-0.10105456,0.3942564,0.014202699,-0.11627622,0.36466652
8,-0.16385253,-0.09628119,-0.022873353,-0.02652617,-0.0064426935,0.011681518,-0.061322257,0.011045775,-0.10271845,0.0062689623,-0.008722353,0.14042166,0.008898211,0.3176099,-0.6549141,-0.005100512,-0.1512562,0.1359846,-0.012598913,0.32766935,0.014662875,-0.11455757,0.34898522
9,0.001034564,0.014822848,-0.0052119517,-0.035065673,0.018005533,-0.015367555,-0.009312069,-0.08925553,-0.12856054,0.0038725438,-0.017296107,0.043857593,-0.15024923,-0.2098127,0.006086044,-0.029197799,-0.30744874,0.30477238,0.022369593,0.076328725,0.0055125933,0.74804324,0.24750018
10,0.041559603,-0.01608866,-0.0021812709,0.029448634,-0.05194704,0.07555271,-0.2358912,0.3071149,-0.07728227,-0.0063239494,0.040440544,0.014350026,-0.40285173,-0.13179028,-0.06922148,-0.047201082,0.022652032,-0.34383315,-0.28462905,-0.5705942,0.003037396,-0.05226977,0.19143729
11,0.037086707,-0.021100327,-0.0045956094,-0.015999438,-0.0068945605,-3.6321977e-05,-0.17705858,-0.017710961,0.0056327446,-0.025021214,0.070416145,0.049247116,0.008240839,0.26627493,0.19433795,0.037253696,0.23838662,0.042434692,0.6462597,-0.24855894,0.004097334,0.043265726,0.13466682
12,0.0020528766,0.0123281665,-0.11132367,-0.39978653,-0.10181296,0.0068559926,0.17790054,0.14352202,0.021010853,-0.0034772202,0.033011142,0.0530831,0.017870238,0.113091044,0.07527534,0.33095908,0.30703902,0.3894447,-0.37729883,-0.29238668,-0.035643682,-0.0021269352,0.11826725
13,-0.14711106,-0.04152245,0.06702901,0.2396107,0.03320424,0.022510782,0.054744717,0.02474095,0.00834591,-0.010951927,0.08217964,0.12913875,0.0365658,0.29094228,0.2707045,0.020027794,-0.32839295,0.11740316,-0.2577557,-0.2361249,0.0018047051,-0.0089977505,0.12793845
14,-0.13280244,0.22251078,0.017191326,0.003323785,0.51831484,-0.37045977,-0.05437904,0.105514295,-0.00440027,-0.0041447505,-0.0018938716,-0.009639186,0.0055762446,0.004653292,0.00088055927,0.011736695,0.0133722145,-0.0030442725,-0.008818525,0.0053400756,0.0018524914,-0.0011466325,0.06564001
15,0.27348816,0.0672841,-0.026066013,0.05982834,0.01736124,0.048177086,0.015811682,0.07551083,-0.12732221,0.013061148,0.0051276516,0.32591203,0.08947294,0.0051746783,-0.11979101,-0.013502278,0.18816186,-0.20827883,-0.03623802,0.5298059,0.019954514,-0.14552812,0.41757822
16,0.076922424,0.03890931,-0.013241232,-0.053928755,0.073748246,-0.08499469,0.22139025,-0.43990612,-0.020321097,-0.010803919,0.061779406,-0.03716106,0.11246893,-0.16929741,-0.06657172,-0.03789283,0.023998508,-0.2222696,-0.1539808,-0.39454266,0.0031002169,-0.036944956,0.1601507
17,0.09199288,-0.025552971,0.0045953942,-0.012027898,0.0509423,-0.034031454,-0.0683571,-0.006412749,-0.24250337,-0.006034922,0.08925674,0.18462367,-0.3477628,-0.16781655,0.23977628,-0.021909328,-0.23306704,0.26340416,0.24098133,-0.47275674,0.004206889,0.14733467,0.23742984
18,-0.3342844,-0.18132037,0.054559194,-0.11801379,-0.018913817,-0.058700982,-0.19235425,-0.14467266,-0.056537528,0.005493558,-0.034865305,-0.13189821,-0.0012201612,-0.039210908,-0.07924547,-0.018206619,-0.07026712,0.091968454,-0.024323009,0.14195673,-0.03546432,-0.0055375327,0.17569572
19,-0.1309279,0.26175308,-0.14618614,-0.08697402,-0.08056418,0.20842242,-0.05059246,-0.03757947,0.018462345,0.057351857,-0.55198604,0.082953304,-0.099976756,0.08114607,0.08073952,-0.020276863,0.054348003,-0.09129482,0.032804478,-0.20456913,0.0016865826,-0.021319224,0.08999194
20,-0.024152039,0.009025259,0.0077240122,0.004242386,-0.05755809,0.05794561,-0.110674426,0.16294375,0.021618279,0.011238745,-0.14930893,-0.083339795,-0.20031954,-0.15674134,-0.29869333,-0.05189439,-0.020403061,-0.31307894,-0.4925214,0.031246293,0.004080705,0.56059796,0.18434568
21,-0.12518215,-0.037371434,0.012458972,-0.06309567,-0.033047907,-0.018076127,-0.010876934,-0.022564873,0.082115166,-0.01906173,-0.032065183,-0.8286211,-0.10746594,0.20075236,-0.22361043,0.006137834,-0.080563314,0.081323594,0.07642211,-0.15247548,0.007495888,-0.10486793,0.29998624
22,0.014814471,-0.010732353,0.0024127609,0.00662385,-0.006987507,0.013565626,0.0018383239,0.0026059777,-0.0063842223,0.0016726848,0.01917301,0.09085467,0.007835442,-0.008212815,-0.03695349,-0.0010342001,0.04005997,-0.039961103,0.032218024,-0.04077563,0.024827998,-0.33789584,0.92803246
