,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.007881525,-0.050750848,-0.02401074,0.0040386165,-0.25074047,0.24904989,0.004325158,-0.37122563,0.27337697,-0.23336083,0.054402724,0.41459784,0.017258594,0.35983273,0.26939386
1,0.2218836,-0.17811906,0.017318424,-0.014485114,0.18590933,-0.009419366,0.014699787,0.20205255,0.3890135,-0.16127102,0.1438496,-0.3672143,0.0036966878,0.01982162,0.25236773
2,-0.01605255,-0.00034421947,0.009348839,0.0024707108,0.17834233,-0.027034936,0.0025224655,-0.013501974,-0.048715923,0.044327315,-0.022260418,-0.020427465,0.024628589,0.80418515,0.55678236
3,0.14703842,-0.076084994,-0.04885242,-0.05971218,0.010112541,0.31811583,-0.03215048,0.04470979,-0.29677558,0.24034789,-0.025388623,0.0044013667,0.0052278857,-0.43750286,0.59432346
4,-0.10553915,0.101160355,0.002700805,-0.0802594,0.13129325,-0.13772571,0.015273672,0.22817753,0.20378503,-0.15884337,-0.18668921,-0.5110463,0.004348258,0.03830331,0.27213135
5,-0.11515624,0.08664391,-0.008590726,0.020236732,-0.0016973552,-0.21173799,0.021221196,-0.014104169,0.20999834,-0.19329421,-0.033053517,0.07050823,0.005448433,-0.4663144,0.62822706
6,0.1451466,0.10502721,-0.01489409,0.00033835229,-0.13803437,-0.24508601,-0.022048822,0.48613596,-0.22425637,0.21080478,0.07174723,0.5235875,0.019097928,0.34841424,0.2488896
7,-0.043837793,0.21200635,-0.0011656209,-0.028781561,0.048544675,0.12990648,-0.33114934,0.049464352,-0.30574,-0.43728802,0.3963676,-0.32028472,-0.06465752,0.0762256,0.10367742
8,-0.027290722,-0.074024454,-0.007779672,-0.009566687,-0.05191605,-0.23777434,0.06172546,-0.12272742,-0.039224897,0.37451395,0.3497958,-0.55561817,0.0038437475,0.07610449,0.22403665
9,-0.023970997,0.088923246,-0.053598687,0.0035240797,-0.5892805,0.049357295,-0.044160955,0.23327929,0.20205897,-0.17698286,0.090023324,0.4050392,0.00878613,0.31822038,0.23845153
10,0.10102161,-0.11612471,-0.005025248,0.09290419,0.040572606,0.24802475,-0.02746415,0.16190429,-0.22061445,-0.059045784,-0.6467341,-0.22268945,0.0037954948,0.058814604,0.10196015
11,0.09069161,0.026696019,-0.04157086,-0.001990179,-0.8224439,0.16935104,0.010409383,-0.22774252,0.0947008,-0.07895558,-0.07713277,-0.16098651,0.0073448964,0.25194973,0.18326871
12,-0.09504698,-0.04995586,0.028385818,-0.0047773365,0.37835842,0.20859654,0.040714957,-0.54080117,-0.004924018,0.02086849,0.012518928,0.39021316,0.016688025,0.31594393,0.22881532
13,-0.1322697,-0.04281729,0.023798002,-0.0052832183,0.29318708,-0.06622642,0.008423109,0.05668533,-0.25212988,0.24718474,0.06615678,0.6167144,0.022972947,0.41376173,0.29461884
14,-0.46834856,-0.49803665,-0.06316985,-0.070803754,-0.020114845,0.029243097,0.07170611,-0.0070234914,-0.011236891,-0.012292592,0.02041227,-0.0018894697,-0.102763616,0.095755205,0.07838227
