,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,144.39222974726243,1.1151460895739271,40.35687503243552,5.295824900098604,43.082360267787635,40.46655249364264,0.00014271628003528983,0.018935855519227777,0.0,0.0008627847838497068,0.0004281488401058695,0.09698219938761742,3.892262182780632e-05,0.0,6.48710363796772e-06,0.016315065649488817,0.00013622917639732212,1.297420727593544e-05,0.00012974207275935441,0.0,0.0,3.2435518189838604e-05,138.304848461259,11.163234988842182,0.5655704758939214,0.5651971430795578,0.18310239244382173,0.18272425917276458,0.3333636281072775,0.06493616690022318,0.03614912553843027,229.75738232394002,56.52123229020707,0.24554076495926377,0.09320229383973426,0.08299340910271225,0.013487272302662232,0.5652623384711066,0.5648841403290188,0.18330362239867112,0.18060881467642223
1,2.0,1.0,17.0,2.0,693375640.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,0.79,0.67,0.21,0.33,0.05,0.39,0.0,255.0,3.0,0.01,0.09,0.22,0.0,0.18,0.67,0.05,0.33
2,324.3125,1.0,19.0,9.0,0.0,5150380.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.3125,13.375,0.953125,0.00125,0.9375,0.0,0.046875,0.05375,0.0,0.0
3,5051.677966101695,1.0,20.11864406779661,8.983050847457626,5134226.491525424,0.0,0.0,0.0,0.0,2.711864406779661,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169491525423728,1.4576271186440677,0.01694915254237288,0.019322033898305085,0.0,0.0,0.9915254237288136,0.01694915254237288,0.0576271186440678,31.593220338983052,35.05084745762712,0.8908474576271187,0.02338983050847458,0.9332203389830509,0.10440677966101697,0.010847457627118643,0.024237288135593223,0.0023728813559322037,0.00033898305084745765
4,2426.0,1.0,19.0,4.0,2500058.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,43.0,1.0,0.0,1.0,0.09,0.0,0.0,0.33,0.02
5,77.0,1.0,57.0,9.0,698.25,2417171.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131.75,27.25,0.175,0.0525,0.015000000000000001,0.1625,0.0,0.0,0.0,0.0
6,37.25,1.0,52.625,9.0,601.25,794164.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.0,0.0,0.0,0.0,0.0,0.9375,0.125,0.0,171.0,55.875,0.365,0.02,0.13,0.03125,0.0,0.0,0.0,0.0
7,0.19878997407087295,1.0,22.031979256698357,8.819360414866033,54595.37597234226,7893.505185825411,0.0,0.0,0.0,1.8604148660328435,0.0,0.9904926534140017,0.9165946413137425,0.0,0.0,0.00950734658599827,0.0,0.0,0.0,0.0,0.0,0.0,3.6797752808988764,3.9261019878997407,0.0037640449438202245,0.003958513396715644,0.03592912705272254,0.08847882454624068,0.9984528954191876,0.002346585998271391,0.11202679343128738,202.82368193604148,200.16162489196196,0.9692869490060505,0.0035479688850475334,0.02719101123595515,0.0009031979256698359,0.0026620570440794955,0.0028608470181503694,0.04694036300777924,0.04658167675021651
8,45.0,1.0,57.0,9.0,588.3333333333334,1761597.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,136.0,33.0,0.26333333333333336,0.03333333333333333,0.01,0.02666666666666667,0.0,0.0,0.0,0.0
9,568.38,1.0,28.3,8.94,357.9,152556.08,0.0,0.0,0.0,0.0,0.0,1.0,15.36,0.02,0.04,17.14,0.2,0.0,0.12,0.0,0.0,0.0,5.38,8.44,0.0014000000000000002,0.0014000000000000002,0.0,0.0,1.0,0.0,0.0782,73.74,206.2,0.8513999999999998,0.0086,0.051199999999999996,0.029600000000000008,0.018200000000000004,0.0134,0.0084,0.013000000000000001
